5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Assurance and related services ,All Establishments ,Employer Firms ,"29,076","27,602","27,116",3.7,3.2,3.5
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Trading equities on own account - Net gains (losses) ,All Establishments ,Employer Firms ,"3,954","3,757","1,818",5,5.1,6.2
54133,Engineering Services ,Total operating revenue ,All Establishments ,Employer Firms ,"175,434","177,708","172,403",10,9.1,10.2
486,Pipeline Transportation ,All other operating revenue ,All Establishments ,Employer Firms ,"2,781","2,777","2,670",Z,Z,Z
51222,Integrated Record Production/Distribution ,Licensing revenue - Licensing of rights to use musical recordings ,All Establishments ,Employer Firms ,D,668,791,D,1,0.9
515111,Radio Networks ,All other operating revenue ,All Establishments ,Employer Firms ,"3,909","3,553","3,374",1.5,1.4,1.4
62132,Offices of Optometrists ,Total operating revenue ,All Establishments ,Employer Firms ,"12,579","12,025","11,684",2.2,1.9,1.5
5171,Wired Telecommunications Carriers2 ,Fixed services - Fixed long-distance telephony ,All Establishments ,Employer Firms ,"19,743","21,383","20,826",1,0.5,0.7
518,"Data Processing, Hosting, and Related Services5 ",Information technology (IT) technical support services ,All Establishments ,Employer Firms ,"3,138","2,853","2,607",11.7,10.1,8.5
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing other financial instruments ,All Establishments ,Employer Firms ,"1,730","3,079","1,834",5.3,4.4,4.3
486,Pipeline Transportation ,Transportation of other bulk liquid gases by pipeline ,All Establishments ,Employer Firms ,505,488,439,Z,Z,Z
6215,Medical and Diagnostic Laboratories ,Patient out-of-pocket ,All Establishments ,Employer Firms ,"2,852","2,889","2,795",4.5,4.2,3.5
5171,Wired Telecommunications Carriers2 ,Premium programming package ,All Establishments ,Employer Firms ,"23,592","23,392","21,246",0.9,0.5,0.5
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,"1,474","1,295","1,262",5.2,6.3,6.3
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"2,486","2,302","2,249",5.3,4.4,3.9
62142,Outpatient Mental Health and Substance Abuse Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"13,999","13,566","12,985",3.2,2.7,2.2
51112,Periodical Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"7,147","7,466","7,703",6.4,4.6,4.5
6233,Community Care Facilities for the Elderly ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"2,059","2,175","1,979",12.1,10.9,10.6
5417,Scientific Research and Development Services ,"Basic and applied research in natural and exact sciences, except biological sciences ",Establishments subject to federal income tax ,Employer Firms ,"9,264","9,102","9,248",7.1,5.7,6.4
5417,Scientific Research and Development Services ,Basic and applied research in the biological and biomedical sciences ,Establishments exempt from federal income tax ,Employer Firms ,"4,314","4,138","3,994",5.4,5.4,5.8
624,Social Assistance ,Total revenue ,All Establishments ,Employer Firms ,"151,938","149,927","146,081",1.6,1.3,0.9
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing other financial instruments ,All Establishments ,Employer Firms ,"1,730","3,079","1,834",5.3,4.4,4.3
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ","Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"2,038","1,880","1,783",9,9.2,8.8
6117,Educational Support Services ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"10,697","10,191","9,510",2.8,2.9,2.7
511191,Greeting Card Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"3,720","3,822","3,852",0.6,0.5,0.4
621491,Other Outpatient Care Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"1,360","1,304","1,206",3.7,3.7,3.8
51919,All Other Information Services ,Information search and retrieval services ,All Establishments ,Employer Firms ,"2,048","1,917","1,971",4.9,4.8,4.8
5622,Waste Treatment and Disposal ,All other operating revenue ,All Establishments ,Employer Firms ,"2,323","1,979","1,867",8.6,6,4.7
51113,Book Publishers ,Books - children's books ,All Establishments ,Employer Firms ,"3,637","3,334","3,352",7.7,4,4.3
56132,Temporary Help Services ,All other operating revenue ,All Establishments ,Employer Firms ,"9,400","8,736","7,693",6.1,7.8,7.8
56299,All Other Waste Management Services ,Other waste management services ,All Establishments ,Employer Firms ,"3,235","2,651","2,418",5.6,5.2,5.1
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Total operating revenue ,All Establishments ,Employer Firms ,"261,822","253,964","270,412",1.3,1.5,1.5
S ,"Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%) or poor response quality (total quantity response rate is less than 50%) or other concerns about the estimate's quality.  Unpublished estimates derived from this table by subtraction are subject to these same limitations and should not be attributed to the U.S. Census Bureau.  For a description of publication standards and the total quantity response rate, see http://www.census.gov/quality/standards/standardf1.html. ",,,,,,,,,
621491,Other Outpatient Care Centers ,Other patient care revenue ,All Establishments ,Employer Firms ,547,500,450,1.3,1.3,1.3
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Brokering and dealing investment company securities ,All Establishments ,Employer Firms ,"15,906","13,673","13,393",3.1,2.6,2.6
624,Social Assistance ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"59,765","60,267","59,366",2,2.1,2.1
5417,Scientific Research and Development Services ,All other operating revenue ,Establishments exempt from federal income tax ,Employer Firms ,"3,674","3,938","3,813",5.3,4.9,5.1
51112,Periodical Publishers ,Periodicals - subscriptions & sales ,All Establishments ,Employer Firms ,"14,027","12,790","12,608",7.5,7.4,5.9
6215,Medical and Diagnostic Laboratories ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"10,150","10,433","9,873",2.5,1.9,1.9
5121x ,Motion Picture and Video Production and Distribution1 ,All other operating revenue ,All Establishments ,Employer Firms ,"4,110","3,876","3,859",5,4.3,3.4
5121x ,Motion Picture and Video Production and Distribution1 ,Other production services ,All Establishments ,Employer Firms ,"3,584","3,093","2,900",6.9,7.7,5.1
62132,Offices of Optometrists ,Investment and property income ,All Establishments ,Employer Firms ,12,S,S,12,S,S
56151,Travel Agencies ,Commissions or fees from computerized reservation systems ,All Establishments ,Employer Firms ,746,749,723,7.8,6.3,6.7
54161,Management Consulting Services10 ,"Marketing management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"15,136","13,831","12,606",7.4,6.6,6.5
5112,Software Publishers ,System software publishing - Network software ,All Establishments ,Employer Firms ,"15,725","14,471","13,911",7.7,8,7.7
6239,Other Residential Care Facilities ,Other patient care revenue ,All Establishments ,Employer Firms ,S,519,504,S,5.6,6.1
518,"Data Processing, Hosting, and Related Services5 ",Software publishing ,All Establishments ,Employer Firms ,"2,821",S,"2,019",9.8,S,10.3
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Mobile all distance ,All Establishments ,Employer Firms ,"63,321","60,765",S,0.9,0.9,S
ZZ ,Absolute value is less than 0.5. ,,,,,,,,,
51114,Directory and Mailing List Publishers ,Rental or sale of mailing lists ,All Establishments ,Employer Firms ,S,118,127,S,29.4,26.4
5112,Software Publishers ,Information Technology related training services ,All Establishments ,Employer Firms ,"2,061","1,870","1,781",11.2,18.9,20.2
483,Water Transportation ,Tugboat services ,All Establishments ,Employer Firms ,506,S,S,21.6,S,S
62131,Offices of Chiropractors ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"3,429","3,146","3,041",2.9,2.4,2.3
56292,Material Recovery Facilities ,Other waste management services ,All Establishments ,Employer Firms ,43,30,29,26.3,6.2,5.8
62141,Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,334,317,330,3.6,2.9,2.8
621492,Kidney Dialysis Centers ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,8,7,7,3.5,3.5,3.1
6117,Educational Support Services ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"10,697","10,191","9,510",2.8,2.9,2.7
7111,Performing Arts Companies ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"11,022","11,334","10,327",5.6,5.5,4.6
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Investment and property income ,All Establishments ,Employer Firms ,S,S,S,S,S,S
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Total operating revenue ,All Establishments ,Employer Firms ,"261,822","253,964","270,412",1.3,1.5,1.5
624,Social Assistance ,Total revenue ,All Establishments ,Employer Firms ,"151,938","149,927","146,081",1.6,1.3,0.9
711211,Sports Teams and Clubs ,Admissions revenue (excluding admissions taxes) ,Establishments subject to federal income tax ,Employer Firms ,"8,458","8,494","7,846",6.4,7.7,6.6
6239,Other Residential Care Facilities ,Investment and property income ,All Establishments ,Employer Firms ,212,203,225,7.1,5.1,6.5
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from event tickets ,All Establishments ,Employer Firms ,"3,958",S,S,13,S,S
621492,Kidney Dialysis Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"18,900","17,270","16,447",3.1,2.8,2.3
5121x ,Motion Picture and Video Production and Distribution1 ,Domestic licensing of rights to television programs ,All Establishments ,Employer Firms ,"12,796","12,355","11,364",8.9,2.6,2.4
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Natural gas distribution ,All Establishments ,Employer Firms ,"4,944","5,935","5,616",3.5,3.4,3.7
484,Truck Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"230,632","215,884","194,616",1.4,1.5,1.4
54161,Management Consulting Services10 ,All other consulting revenue ,All Establishments ,Employer Firms ,"21,628","20,259","17,944",6.6,6.3,5.7
622,Hospitals ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"397,251","373,264","358,206",1.7,2,1.9
5417,Scientific Research and Development Services ,Basic and applied research in the social sciences and humanities ,Establishments exempt from federal income tax ,Employer Firms ,"2,133","1,848","1,744",5.7,6.2,5.9
5121x ,Motion Picture and Video Production and Distribution1 ,Domestic licensing of rights to motion picture films ,All Establishments ,Employer Firms ,"13,729","13,507","13,785",2,1.9,2
483,Water Transportation ,Towing services by water ,All Establishments ,Employer Firms ,843,738,565,9.3,9.3,10.6
6212,Offices of Dentists ,Other patient care revenue ,All Establishments ,Employer Firms ,"6,635","6,373","6,270",8.7,8.6,7.8
6219,Other Ambulatory Health Care Services ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"4,627","4,868","4,590",3.4,2.3,2.2
6219,Other Ambulatory Health Care Services ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,22,19,17,10,9.6,7.5
51919,All Other Information Services ,Information search and retrieval services ,All Establishments ,Employer Firms ,"2,048","1,917","1,971",4.9,4.8,4.8
5121x ,Motion Picture and Video Production and Distribution1 ,International licensing of rights to television programs ,All Establishments ,Employer Firms ,"3,737","3,545","3,175",2.7,1.9,1.9
2213,"Water, Sewage and Other Systems ",All other operating revenue ,All Establishments ,Employer Firms ,"2,170","2,258","2,132",7.3,6.9,7.1
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ","Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"8,311","8,083","7,930",4.4,3.9,3.3
6233,Community Care Facilities for the Elderly ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"10,475","10,432","9,746",5,4.8,4.6
481,Air Transportation ,"International, non-scheduled passenger by air ",All Establishments ,Employer Firms ,"2,775","2,450","2,630",3.5,3.9,6.1
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,357","1,227","1,129",9.5,7.2,6.8
522,Credit Intermediation and Related Activities ,Credit card income from businesses and governments ,All Establishments ,Employer Firms ,"23,104","21,678","22,354",6.7,6.2,5.4
62133,"Offices of Mental Health Practitioners, (except Physicians) ",All other non-patient care revenue ,All Establishments ,Employer Firms ,251,225,206,12,17.3,20.9
5621,Waste Collection ,Non-residential nonhazardous waste and recyclable material collection services ,All Establishments ,Employer Firms ,"20,919","20,327","20,262",4.1,3.7,4.3
62132,Offices of Optometrists ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,86,88,S,24.1,24
54161,Management Consulting Services10 ,"Human resources management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"13,692","13,469","12,938",5.4,4.7,4.5
71311,Amusement and Theme Parks ,All other operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"5,602","5,265","4,999",1.3,1.3,0.8
2212,Natural Gas Distribution ,Sales of energy and resources - Natural gas distribution ,All Establishments ,Employer Firms ,"66,429","80,600","83,918",2.1,1.9,1.7
522,Credit Intermediation and Related Activities ,Loan income from consumers ,All Establishments ,Employer Firms ,"528,541","535,148","573,297",1.2,0.8,0.7
5171,Wired Telecommunications Carriers2 ,Private network services ,All Establishments ,Employer Firms ,"22,253","22,222","21,977",2.2,2.3,1.8
6211,Offices of Physicians ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"34,470","34,882","32,928",4.8,4.6,4.4
5417,Scientific Research and Development Services ,Basic and applied research in engineering and technology ,Establishments exempt from federal income tax ,Employer Firms ,"8,399","8,735","8,152",3.9,3.3,3.3
56152,Tour Operators ,Customized group tours - International travel ,All Establishments ,Employer Firms ,"1,151","1,166","1,225",10.1,10.1,11.4
5171,Wired Telecommunications Carriers2 ,Basic programming package ,All Establishments ,Employer Firms ,"60,290","56,480","54,901",0.9,0.7,0.6
5171,Wired Telecommunications Carriers2 ,Carrier services ,All Establishments ,Employer Firms ,"18,722","19,534","18,967",1.8,2.1,2.6
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"2,486","2,302","2,249",5.3,4.4,3.9
6219,Other Ambulatory Health Care Services ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"7,626","7,072","6,721",4.7,4.1,3.4
481,Air Transportation ,"Domestic, scheduled freight transportation by air ",All Establishments ,Employer Firms ,"2,730","2,884","2,238",2.4,2.1,2.8
51911,News Syndicates ,All other operating revenue ,All Establishments ,Employer Firms ,590,S,346,18.7,S,13
5171,Wired Telecommunications Carriers2 ,Private network services ,All Establishments ,Employer Firms ,"22,253","22,222","21,977",2.2,2.3,1.8
5417,Scientific Research and Development Services ,"Contributions, gifts, and grants received ",Establishments exempt from federal income tax ,Employer Firms ,"10,647","10,313","9,712",3.2,3,2.6
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",All other non-patient care revenue ,All Establishments ,Employer Firms ,716,649,664,7,10,10.1
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Equities ,All Establishments ,Employer Firms ,387,963,992,6.1,4.3,4.4
54111,Offices of Lawyers ,Investment and property income ,Establishments exempt from federal income tax ,Employer Firms ,S,S,S,S,S,S
56299,All Other Waste Management Services ,Total operating revenue ,All Establishments ,Employer Firms ,"4,689","4,126","3,750",5,5.3,5
54181,Advertising Agencies ,Media buying ,All Establishments ,Employer Firms ,"6,689","6,245","6,290",10.7,8.7,9.5
517911,Telecommunications Resellers4 ,Carrier services ,All Establishments ,Employer Firms ,"2,653","2,525","2,499",5.9,5.9,5.6
486,Pipeline Transportation ,All other operating revenue ,All Establishments ,Employer Firms ,"2,781","2,777","2,670",Z,Z,Z
711212,Racetracks ,Admissions revenue (excluding admissions taxes) ,Establishments subject to federal income tax ,Employer Firms ,737,722,775,9.7,8.7,8.2
51112,Periodical Publishers ,Periodicals - subscriptions & sales ,All Establishments ,Employer Firms ,"14,027","12,790","12,608",7.5,7.4,5.9
56151,Travel Agencies ,Commissions or fees from computerized reservation systems ,All Establishments ,Employer Firms ,746,749,723,7.8,6.3,6.7
621399,Offices of All Other Miscellaneous Health Practitioners ,Other patient care revenue ,All Establishments ,Employer Firms ,636,639,621,9.2,8.8,7.9
6211,Offices of Physicians ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"34,470","34,882","32,928",4.8,4.6,4.4
5,"Historical data, 2010 and prior, have been restated to reflect comparable data on the 2007 NAICS basis for more detailed levels within this aggregate. ",,,,,,,,,
624,Social Assistance ,Program service ,All Establishments ,Employer Firms ,"83,133","80,836","78,170",3.4,3.1,2.5
62142,Outpatient Mental Health and Substance Abuse Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"2,043","1,869","1,783",6.1,7.6,9.7
