5171,Wired Telecommunications Carriers2 ,Premium programming package ,All Establishments ,Employer Firms ,"23,592","23,392","21,246",0.9,0.5,0.5
7111,Performing Arts Companies ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"11,022","11,334","10,327",5.6,5.5,4.6
62142,Outpatient Mental Health and Substance Abuse Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"2,043","1,869","1,783",6.1,7.6,9.7
62141,Outpatient Care Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,513,516,503,6.9,6.2,5.6
62131,Offices of Chiropractors ,Investment and property income ,All Establishments ,Employer Firms ,S,24,27,S,15.7,26.7
5417,Scientific Research and Development Services ,"Basic and applied research in natural and exact sciences, except biological sciences ",Establishments exempt from federal income tax ,Employer Firms ,"1,861","1,740","1,623",3.7,3,3.2
62132,Offices of Optometrists ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,86,88,S,24.1,24
6116,Other Schools and Instruction ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"13,040","12,308","11,428",4.4,4.3,4
51219,Postproduction Services and Other Motion Picture and Video Industries ,Total operating revenue ,All Establishments ,Employer Firms ,"5,415","5,590","5,310",3.8,3.9,3.8
6212,Offices of Dentists ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"9,957","11,049","10,982",5.8,8.5,6.9
5415,Computer Systems Design and Related Services ,IT infrastructure and network management ,All Establishments ,Employer Firms ,"46,602","44,512","41,601",2.2,4.1,4.2
5171,Wired Telecommunications Carriers2 ,Rental of telecommunications equipment ,All Establishments ,Employer Firms ,"1,169","1,165","1,292",0.9,2.5,2.1
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",All other non-patient care revenue ,All Establishments ,Employer Firms ,503,571,503,12.2,11.9,12.8
54161,Management Consulting Services10 ,"Strategic management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"36,543","33,590","32,110",5.5,4.4,3.8
6211,Offices of Physicians ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"34,470","34,882","32,928",4.8,4.6,4.4
5415,Computer Systems Design and Related Services ,Network design and development ,All Establishments ,Employer Firms ,"7,298",S,"5,853",19.4,S,15.1
5174,Satellite Telecommunications ,All other operating revenue ,All Establishments ,Employer Firms ,"2,060","2,147",S,3.8,5.5,S
2212,Natural Gas Distribution ,Sewer system user charges ,All Establishments ,Employer Firms ,ZZ,ZZ,ZZ,Z,NA,NA
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51113,Book Publishers ,Books - textbooks ,All Establishments ,Employer Firms ,"8,598","9,021","8,968",2.7,1.9,1.7
485,Transit and Ground Passenger Transportation ,"Long-distance, fixed-route passenger transportation by road ",All Establishments ,Employer Firms ,"3,262","3,011","2,849",5.5,4.8,5.2
5112,Software Publishers ,Application software publishing - Utilities application software ,All Establishments ,Employer Firms ,"2,949","3,302","2,670",11.8,13.4,15.7
6212,Offices of Dentists ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
5171,Wired Telecommunications Carriers2 ,Repair and maintenance services for telecommunications equipment ,All Establishments ,Employer Firms ,703,S,389,9.6,S,7.2
511191,Greeting Card Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"3,720","3,822","3,852",0.6,0.5,0.4
6239,Other Residential Care Facilities ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"1,333","1,326","1,320",5.4,4.2,4.7
5415,Computer Systems Design and Related Services ,"Computer systems design, development, and integration ",All Establishments ,Employer Firms ,"39,149","36,178","34,659",5.7,4.9,5
8,Includes NAICS 52313 (Commodity Contracts Dealing) and NAICS 52314 (Commodity Contracts Brokerage). ,,,,,,,,,
522,Credit Intermediation and Related Activities ,Credit card income from businesses and governments ,All Establishments ,Employer Firms ,"23,104","21,678","22,354",6.7,6.2,5.4
621399,Offices of All Other Miscellaneous Health Practitioners ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,94,S,S,26.6
51222,Integrated Record Production/Distribution ,Total operating revenue ,All Establishments ,Employer Firms ,"7,257","7,238","8,258",0.7,0.7,0.2
51113,Book Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"3,634","3,673","3,725",6.1,9.5,7.9
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,846","1,938","1,841",6.7,6.9,7.9
6219,Other Ambulatory Health Care Services ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"4,627","4,868","4,590",3.4,2.3,2.2
54182,Public Relations Agencies ,Lobbying ,All Establishments ,Employer Firms ,"1,507","1,392","1,458",6.9,7.5,7
481,Air Transportation ,"International, non-scheduled passenger by air ",All Establishments ,Employer Firms ,"2,775","2,450","2,630",3.5,3.9,6.1
621491,Other Outpatient Care Centers ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,297,284,254,1.2,1.2,1.2
54161,Management Consulting Services10 ,"Operations and supply chain management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,961","8,133","8,035",6.2,8.2,7.2
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",Investment and property income ,All Establishments ,Employer Firms ,184,192,229,15.1,14.5,17.5
56299,All Other Waste Management Services ,Sale or brokerage of nonhazardous recyclable material ,All Establishments ,Employer Firms ,151,173,42,16.8,8.3,15.4
56152,Tour Operators ,Pre-packaged tours - International travel ,All Establishments ,Employer Firms ,"1,777","1,687","1,699",5,6.8,6.3
6117,Educational Support Services ,Total operating revenue ,All Establishments ,Employer Firms ,"13,147","12,932","12,247",2.3,2.7,2.1
6219,Other Ambulatory Health Care Services ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,959,"1,032",962,7.3,6.4,5.7
6239,Other Residential Care Facilities ,Total operating revenue ,All Establishments ,Employer Firms ,"8,534","8,308","8,196",2.6,2,2.3
518,"Data Processing, Hosting, and Related Services5 ",Information and document transformation services ,All Establishments ,Employer Firms ,"2,376","2,174","2,085",12.5,8.5,8.2
Z ,Absolute value is less than 0.05 ,,,,,,,,,
51219,Postproduction Services and Other Motion Picture and Video Industries ,Total operating revenue ,All Establishments ,Employer Firms ,"5,415","5,590","5,310",3.8,3.9,3.8
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from cruises ,All Establishments ,Employer Firms ,169,S,155,29.3,S,29.5
712,"Museums, Historical Sites, and Similar Institutions ",Total revenue ,Establishments exempt from federal income tax ,Employer Firms ,"11,107","10,606","10,571",3.1,2.8,2.5
54161,Management Consulting Services10 ,"Marketing management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"15,136","13,831","12,606",7.4,6.6,6.5
62142,Outpatient Mental Health and Substance Abuse Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"8,521","8,134","7,846",5.3,4.9,4.5
62131,Offices of Chiropractors ,All other non-patient care revenue ,All Establishments ,Employer Firms ,S,135,145,S,16.1,14.3
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Brokering and dealing investment company securities ,All Establishments ,Employer Firms ,"15,906","13,673","13,393",3.1,2.6,2.6
5621,Waste Collection ,All other operating revenue ,All Establishments ,Employer Firms ,"3,607","4,228","3,828",10.5,13.5,14
51112,Periodical Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"38,949","38,462","38,395",4.3,3.2,2.5
6219,Other Ambulatory Health Care Services ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,959,"1,032",962,7.3,6.4,5.7
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Messaging (paging) services ,All Establishments ,Employer Firms ,"4,647","4,434","4,004",4.9,4.8,5.2
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
56151,Travel Agencies ,Commissions or fees from packaged tours ,All Establishments ,Employer Firms ,"1,516","1,498","1,460",8.7,7.4,7.9
56292,Material Recovery Facilities ,Total operating revenue ,All Establishments ,Employer Firms ,"5,068","5,842","4,854",5.3,5.1,5
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
6216,Home Health Care Services ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,854,768,762,12.9,11.8,11.8
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from event tickets ,All Establishments ,Employer Firms ,"3,958",S,S,13,S,S
5112,Software Publishers ,System software publishing - Database management software ,All Establishments ,Employer Firms ,"10,492","10,267","9,913",4.1,7,7.8
62131,Offices of Chiropractors ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
5417,Scientific Research and Development Services ,Investment and property income ,Establishments exempt from federal income tax ,Employer Firms ,"1,600","1,845","1,127",4,9.4,9
5621,Waste Collection ,Residential nonhazardous waste and recyclable material collection services ,All Establishments ,Employer Firms ,"16,639","16,626","15,805",5,5.1,5.1
54131,Architectural Services ,Multi-family residential projects ,All Establishments ,Employer Firms ,"1,680","1,569","1,232",21.4,19.7,18.5
621493,Freestanding Ambulatory Surgical and Emergency Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"5,900","5,775","5,523",4.2,2.8,2.6
5417,Scientific Research and Development Services ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"98,693","93,174","86,086",5.7,5.3,4.8
5174,Satellite Telecommunications ,All other operating revenue ,All Establishments ,Employer Firms ,"2,060","2,147",S,3.8,5.5,S
6215,Medical and Diagnostic Laboratories ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"10,150","10,433","9,873",2.5,1.9,1.9
56299,All Other Waste Management Services ,Sale or brokerage of nonhazardous recyclable material ,All Establishments ,Employer Firms ,151,173,42,16.8,8.3,15.4
6215,Medical and Diagnostic Laboratories ,Non-patient care revenue ,All Establishments ,Employer Firms ,"3,037","2,984","2,685",9.9,9.4,9
712,"Museums, Historical Sites, and Similar Institutions ","Contributions, gifts and grants received ",Establishments exempt from federal income tax ,Employer Firms ,"5,217","4,887","4,893",4.5,5,4
5417,Scientific Research and Development Services ,Basic and applied research in the social sciences and humanities ,Establishments subject to federal income tax ,Employer Firms ,"1,278","1,208","1,133",6.9,6.5,6.5
62132,Offices of Optometrists ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"4,447","4,310","4,161",3.2,2.3,1.8
56299,All Other Waste Management Services ,All other operating revenue ,All Establishments ,Employer Firms ,867,983,"1,026",6.1,6.6,5.3
483,Water Transportation ,Cruises ,All Establishments ,Employer Firms ,"15,329","14,812","14,422",0.1,0.3,0.3
7,Includes NAICS 52311 (Investment Banking and Securities Dealing) and NAICS 52312 (Securities Brokerage). ,,,,,,,,,
6219,Other Ambulatory Health Care Services ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,959,"1,032",962,7.3,6.4,5.7
54186,Direct Mail Advertising ,Concept development for a direct mail advertising campaign ,All Establishments ,Employer Firms ,388,410,428,17.5,15.6,18.8
56299,All Other Waste Management Services ,Total operating revenue ,All Establishments ,Employer Firms ,"4,689","4,126","3,750",5,5.3,5
5621,Waste Collection ,Total operating revenue ,All Establishments ,Employer Firms ,"42,370","42,567","41,373",3.7,3,3.2
621498,All Other Outpatient Care Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"4,387","4,238","3,948",2.7,3.3,4.4
51113,Book Publishers ,Books - adult trade books ,All Establishments ,Employer Firms ,"6,637","7,024","7,075",3.2,3.4,3.2
2213,"Water, Sewage and Other Systems ",Water sales ,All Establishments ,Employer Firms ,"8,627","8,292","8,033",2.6,2,2.1
51114,Directory and Mailing List Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"12,182","13,040","13,475",2.3,2.1,2.1
54181,Advertising Agencies ,Other advertising services ,All Establishments ,Employer Firms ,"4,401","3,974","3,769",7.4,6,10.1
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"9,475","9,185","8,808",2.6,2.3,2.1
6116,Other Schools and Instruction ,All other operating revenue ,All Establishments ,Employer Firms ,"6,804","5,871","5,503",5,4.5,4.4
6219,Other Ambulatory Health Care Services ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,407","1,371","1,324",6.6,6.5,6.6
5112,Software Publishers ,System software publishing - Database management software ,All Establishments ,Employer Firms ,"10,492","10,267","9,913",4.1,7,7.8
5415,Computer Systems Design and Related Services ,All other operating revenue ,All Establishments ,Employer Firms ,"51,910","46,927","46,931",5.1,4.4,3.4
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,All other operating revenue ,All Establishments ,Employer Firms ,"64,943","67,534","72,763",1.2,1.8,1.6
621399,Offices of All Other Miscellaneous Health Practitioners ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"1,161","1,202","1,145",6.2,5,5.4
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations12 ",Program service ,All Establishments ,Employer Firms ,"50,878","50,264","48,534",3,2.5,2.2
62131,Offices of Chiropractors ,Investment and property income ,All Establishments ,Employer Firms ,S,24,27,S,15.7,26.7
518,"Data Processing, Hosting, and Related Services5 ","Data processing, information technology (IT) infrastructure provisioning, and hosting services ",All Establishments ,Employer Firms ,"61,604","56,734","53,108",4,3.9,3.7
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Natural gas distribution ,All Establishments ,Employer Firms ,"4,944","5,935","5,616",3.5,3.4,3.7
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",Total operating revenue ,All Establishments ,Employer Firms ,"33,702","32,657","31,948",2,1.8,1.5
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,421,387,344,14.2,19.8,17
5112,Software Publishers ,Information Technology related training services ,All Establishments ,Employer Firms ,"2,061","1,870","1,781",11.2,18.9,20.2
485,Transit and Ground Passenger Transportation ,"Long-distance, fixed-route passenger transportation by road ",All Establishments ,Employer Firms ,"3,262","3,011","2,849",5.5,4.8,5.2
56151,Travel Agencies ,Commissions or fees from computerized reservation systems ,All Establishments ,Employer Firms ,746,749,723,7.8,6.3,6.7
6114,Business Schools and Computer and Management Training ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"8,307","8,404","7,928",3.4,3.3,3.4
62142,Outpatient Mental Health and Substance Abuse Centers ,Investment and property income ,All Establishments ,Employer Firms ,57,61,53,29.5,25.2,11.9
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
518,"Data Processing, Hosting, and Related Services5 ",Information and document transformation services ,All Establishments ,Employer Firms ,"2,376","2,174","2,085",12.5,8.5,8.2
561599,All Other Travel Arrangement and Reservation Services ,All other operating revenue ,All Establishments ,Employer Firms ,S,"1,515","1,433",S,5.5,5.2
54161,Management Consulting Services10 ,Total operating revenue ,All Establishments ,Employer Firms ,"131,656","125,260","118,096",2.1,2.1,1.9
6212,Offices of Dentists ,Other patient care revenue ,All Establishments ,Employer Firms ,"6,635","6,373","6,270",8.7,8.6,7.8
51913,Internet Publishing and Broadcasting and Web Search Portals6 ,Online advertising space ,All Establishments ,Employer Firms ,"30,770","26,248","22,523",2.7,3,2.6
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Management consulting services ,All Establishments ,Employer Firms ,"10,937","9,291","8,026",4.5,4,4.2
3,"Includes 2002 NAICS 517211 (Paging), 2002 NAICS 517212 (Cellular and Other Wireless Telecommunications) and a portion of 2002 NAICS 518111 (Internet Service Providers).  Historical data, 2010 and prior, have been restated to reflect comparable data on the 2007 NAICS basis. ",,,,,,,,,
54186,Direct Mail Advertising ,Print services for direct mail advertising materials ,All Establishments ,Employer Firms ,"1,739","1,762","1,696",6.2,7.3,7.9
5171,Wired Telecommunications Carriers2 ,Rental and reselling services for program distribution equipment ,All Establishments ,Employer Firms ,"10,933","8,797","7,602",0.6,0.5,0.8
621492,Kidney Dialysis Centers ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,97,103,101,3.2,3.2,2.3
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Internet access services ,All Establishments ,Employer Firms ,"56,084",S,S,3.6,S,S
54161,Management Consulting Services10 ,"Strategic management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"36,543","33,590","32,110",5.5,4.4,3.8
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
6216,Home Health Care Services ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,854,768,762,12.9,11.8,11.8
485,Transit and Ground Passenger Transportation ,"Long-distance, passenger transportation by road except fixed route ",All Establishments ,Employer Firms ,"1,997","1,884","1,846",8.9,10,8.7
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",All other non-patient care revenue ,All Establishments ,Employer Firms ,716,649,664,7,10,10.1
5171,Wired Telecommunications Carriers2 ,All other operating revenue ,All Establishments ,Employer Firms ,"13,609","14,141","18,753",4.8,3.7,2.6
522,Credit Intermediation and Related Activities ,Loan income from consumers ,All Establishments ,Employer Firms ,"528,541","535,148","573,297",1.2,0.8,0.7
54186,Direct Mail Advertising ,All other operating revenue ,All Establishments ,Employer Firms ,834,807,783,11.9,12.1,9.6
5112,Software Publishers ,Application software publishing - Vertical market application software ,All Establishments ,Employer Firms ,"8,231","8,782","8,263",17.1,11.6,11
2212,Natural Gas Distribution ,Sales of energy and resources - Natural gas distribution ,All Establishments ,Employer Firms ,"66,429","80,600","83,918",2.1,1.9,1.7
