54182,Public Relations Agencies ,Total operating revenue ,All Establishments ,Employer Firms ,"10,931","10,285","10,004",3.9,3.9,3.3
5171,Wired Telecommunications Carriers2 ,Installation services for connections to program distribution networks ,All Establishments ,Employer Firms ,"1,323","1,115","1,104",20.1,21.4,21.2
518,"Data Processing, Hosting, and Related Services5 ",Information technology (IT) technical consulting services ,All Establishments ,Employer Firms ,"3,868","3,623","3,431",8.9,7.7,7.6
711219,Other Spectator Sports ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"3,762","3,847","3,659",10.4,10.7,8.6
56151,Travel Agencies ,Commissions or fees from trip planning ,All Establishments ,Employer Firms ,"4,119","4,101","3,821",7.6,8.7,8.9
51213,Motion Picture and Video Exhibition ,Advertising services ,All Establishments ,Employer Firms ,190,165,154,10.2,5,2.7
5417,Scientific Research and Development Services ,Basic and applied research in the biological and biomedical sciences ,Establishments subject to federal income tax ,Employer Firms ,"16,333","13,655","12,374",7.4,7,7.1
54161,Management Consulting Services10 ,"Strategic management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"36,543","33,590","32,110",5.5,4.4,3.8
5239X ,Portfolio Management and Investment Advice9 ,Financial planning and investment management services for businesses and governments ,All Establishments ,Employer Firms ,"90,679","86,267","76,236",4.1,4.2,4
62133,"Offices of Mental Health Practitioners, (except Physicians) ","Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,297,309,294,9.3,8.6,8.9
515111,Radio Networks ,Total operating revenue ,All Establishments ,Employer Firms ,"5,459","5,007","4,883",1.3,1.1,1
6216,Home Health Care Services ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"3,960","3,725","3,410",14.8,13.4,12.5
54161,Management Consulting Services10 ,All other operating revenue ,All Establishments ,Employer Firms ,"18,549","19,103","18,316",5.9,4.9,4.1
  ,  ,,,,,,,,,
54161,Management Consulting Services10 ,Actuarial consulting (except for employee pensions and other benefits) ,All Establishments ,Employer Firms ,"1,437","1,308","1,214",11.4,10.4,11.8
6211,Offices of Physicians ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"107,841","103,814","98,652",2,2.2,1.9
51114,Directory and Mailing List Publishers ,"Directories, databases, and other collections of information - Subscriptions and sales ",All Establishments ,Employer Firms ,"2,295","2,313","2,337",3.7,3.3,3.3
5239X ,Portfolio Management and Investment Advice9 ,Brokering and dealing products - Equities ,All Establishments ,Employer Firms ,"5,116","4,962","4,876",5.9,7.3,5.7
5417,Scientific Research and Development Services ,Total operating revenue ,Establishments exempt from federal income tax ,Employer Firms ,"33,616","33,394","31,287",2.3,1.9,2.1
56151,Travel Agencies ,Commissions or fees from event tickets ,All Establishments ,Employer Firms ,249,224,210,14.3,14.4,15.3
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from cruises ,All Establishments ,Employer Firms ,169,S,155,29.3,S,29.5
624,Social Assistance ,Total revenue ,All Establishments ,Employer Firms ,"151,938","149,927","146,081",1.6,1.3,0.9
56151,Travel Agencies ,Commissions or fees from automobile clubs and road and travel service ,All Establishments ,Employer Firms ,573,609,573,10.3,10,10.3
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Mobile all distance ,All Establishments ,Employer Firms ,"63,321","60,765",S,0.9,0.9,S
5152,Cable and Other Subscription Programming ,Total operating revenue ,All Establishments ,Employer Firms ,"64,168","60,318","55,168",0.4,0.3,0.2
56151,Travel Agencies ,Commissions or fees from trip planning ,All Establishments ,Employer Firms ,"4,119","4,101","3,821",7.6,8.7,8.9
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"2,486","2,302","2,249",5.3,4.4,3.9
5121x ,Motion Picture and Video Production and Distribution1 ,Merchandise licensing ,All Establishments ,Employer Firms ,837,769,546,5.5,3.5,3.7
54133,Engineering Services ,All other operating revenue ,All Establishments ,Employer Firms ,"34,356","40,408","40,694",12.4,11.2,11.7
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Total operating revenue ,All Establishments ,Employer Firms ,"8,040","7,350","6,702",4.5,4.3,4.4
711212,Racetracks ,Admissions revenue (excluding admissions taxes) ,Establishments subject to federal income tax ,Employer Firms ,737,722,775,9.7,8.7,8.2
711211,Sports Teams and Clubs ,All other operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"14,123","13,927","13,658",5.1,4.5,4.1
5417,Scientific Research and Development Services ,All other operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"38,186","33,406","33,151",7.3,6.5,6
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Other patient care revenue ,All Establishments ,Employer Firms ,607,582,541,7.3,8.2,8.6
62141,Outpatient Care Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,53,50,47,14.7,8.8,11.6
5231X ,Commodity Contracts Dealing and Brokerage8 ,All other operating revenue ,All Establishments ,Employer Firms ,"6,278","6,235","5,725",3.9,3.4,4.1
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Total operating revenue ,All Establishments ,Employer Firms ,"220,192","209,613","195,526",0.8,0.7,0.7
2212,Natural Gas Distribution ,Sewer system user charges ,All Establishments ,Employer Firms ,ZZ,ZZ,ZZ,Z,NA,NA
485,Transit and Ground Passenger Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"29,971","28,256","27,020",2.3,2,1.5
5417,Scientific Research and Development Services ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"98,693","93,174","86,086",5.7,5.3,4.8
511199,All Other Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"1,388","1,306","1,299",9.2,6.4,5.9
2213,"Water, Sewage and Other Systems ",Sewer system user charges ,All Establishments ,Employer Firms ,"1,657","1,645","1,483",3.9,3.5,1.6
5121x ,Motion Picture and Video Production and Distribution1 ,Domestic licensing of rights to motion picture films ,All Establishments ,Employer Firms ,"13,729","13,507","13,785",2,1.9,2
51219,Postproduction Services and Other Motion Picture and Video Industries ,Audiovisual postproduction services ,All Establishments ,Employer Firms ,"3,456","3,478","3,167",3.9,4.4,4
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Brokering and dealing products - Equities ,All Establishments ,Employer Firms ,"35,771","37,703","43,397",2.5,2.3,2.1
5152,Cable and Other Subscription Programming ,All other operating revenue ,All Establishments ,Employer Firms ,"4,100","2,911","2,545",5.8,5.9,5.4
6219,Other Ambulatory Health Care Services ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"4,627","4,868","4,590",3.4,2.3,2.2
56132,Temporary Help Services ,All other operating revenue ,All Establishments ,Employer Firms ,"9,400","8,736","7,693",6.1,7.8,7.8
  ,  ,,,,,,,,,
5112,Software Publishers ,System software publishing - Operating systems software ,All Establishments ,Employer Firms ,"17,395","16,775","17,721",5.1,2.2,2.2
5112,Software Publishers ,Application software publishing - Vertical market application software ,All Establishments ,Employer Firms ,"8,231","8,782","8,263",17.1,11.6,11
5112,Software Publishers ,Application software publishing - Other application software ,All Establishments ,Employer Firms ,"5,015","6,035","6,101",11.3,8.1,6.8
  ,  ,,,,,,,,,
51222,Integrated Record Production/Distribution ,Sale of recordings ,All Establishments ,Employer Firms ,"4,597","4,579","5,558",1,1.2,0.7
54182,Public Relations Agencies ,Full public relations services ,All Establishments ,Employer Firms ,"7,256","6,857","6,643",5.5,5.1,4.3
711211,Sports Teams and Clubs ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"22,581","22,421","21,504",4.8,3.8,2.9
2211,"Electric Power Generation, Transmission and Distribution ",All other operating revenue ,All Establishments ,Employer Firms ,"8,062","8,612","6,646",7.9,7.3,6.4
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Mobile telephony ,All Establishments ,Employer Firms ,"54,472","56,179","56,418",1.6,0.9,0.8
522,Credit Intermediation and Related Activities ,Loan income from consumers ,All Establishments ,Employer Firms ,"528,541","535,148","573,297",1.2,0.8,0.7
62132,Offices of Optometrists ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,86,88,S,24.1,24
5239X ,Portfolio Management and Investment Advice9 ,Financial planning and investment management services for businesses and governments ,All Establishments ,Employer Firms ,"90,679","86,267","76,236",4.1,4.2,4
51913,Internet Publishing and Broadcasting and Web Search Portals6 ,Publishing and broadcasting of content on the Internet ,All Establishments ,Employer Firms ,"18,070","15,210","14,005",4.4,4.1,3.2
56132,Temporary Help Services ,All other operating revenue ,All Establishments ,Employer Firms ,"9,400","8,736","7,693",6.1,7.8,7.8
711212,Racetracks ,Admissions revenue (excluding admissions taxes) ,Establishments subject to federal income tax ,Employer Firms ,737,722,775,9.7,8.7,8.2
712,"Museums, Historical Sites, and Similar Institutions ",Investment and property income ,Establishments exempt from federal income tax ,Employer Firms ,760,907,822,5.9,5.9,7.9
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Investment and property income ,All Establishments ,Employer Firms ,S,S,S,S,S,S
6215,Medical and Diagnostic Laboratories ,Hospitals ,All Establishments ,Employer Firms ,"4,184","4,223","4,027",7.2,6.3,6.7
515112,Radio Stations ,Total operating revenue ,All Establishments ,Employer Firms ,"12,741","12,167","12,135",2.2,1.9,1.9
12,"Excludes NAICS 8131 (Religious Organizations), NAICS 81393 (Labor Unions and Similar Labor Organizations), and NAICS 81394 (Political Organizations). ",,,,,,,,,
62131,Offices of Chiropractors ,Total operating revenue ,All Establishments ,Employer Firms ,"11,432","11,005","10,642",2.2,1.8,1.5
54182,Public Relations Agencies ,Event management ,All Establishments ,Employer Firms ,S,S,474,S,S,21.5
56152,Tour Operators ,Customized group tours - International travel ,All Establishments ,Employer Firms ,"1,151","1,166","1,225",10.1,10.1,11.4
621492,Kidney Dialysis Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"11,783","10,836","10,296",3.1,2.8,2.3
5417,Scientific Research and Development Services ,"Basic and applied research in natural and exact sciences, except biological sciences ",Establishments subject to federal income tax ,Employer Firms ,"9,264","9,102","9,248",7.1,5.7,6.4
