54186,Direct Mail Advertising ,All other operating revenue ,All Establishments ,Employer Firms ,834,807,783,11.9,12.1,9.6
5152,Cable and Other Subscription Programming ,Total operating revenue ,All Establishments ,Employer Firms ,"64,168","60,318","55,168",0.4,0.3,0.2
5239X ,Portfolio Management and Investment Advice9 ,Trust products ,All Establishments ,Employer Firms ,"6,083","5,424","5,377",6.2,5.9,8
2213,"Water, Sewage and Other Systems ",Total operating revenue ,All Establishments ,Employer Firms ,"12,454","12,195","11,648",1.7,1.5,1.4
51223,Music Publishers ,Print music ,All Establishments ,Employer Firms ,266,281,267,3,3.2,3.2
51114,Directory and Mailing List Publishers ,"Directories, databases, and other collections of information - Advertising space ",All Establishments ,Employer Firms ,"9,323","10,064","10,401",2.5,2.3,2.3
6212,Offices of Dentists ,Investment and property income ,All Establishments ,Employer Firms ,S,S,S,S,S,S
62132,Offices of Optometrists ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"5,285","5,021","4,923",3.1,3.4,2.9
621399,Offices of All Other Miscellaneous Health Practitioners ,Other patient care revenue ,All Establishments ,Employer Firms ,636,639,621,9.2,8.8,7.9
5112,Software Publishers ,System software publishing - Network software ,All Establishments ,Employer Firms ,"15,725","14,471","13,911",7.7,8,7.7
54133,Engineering Services ,Construction services ,All Establishments ,Employer Firms ,"20,316","17,669","17,102",22.5,16.1,15.4
5112,Software Publishers ,Application software publishing - General business productivity and home use applications ,All Establishments ,Employer Firms ,"28,039","27,990","25,731",6.6,6.2,4.8
6115,Technical and Trade Schools ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"13,365","13,394","12,801",4.4,4.9,3.7
621492,Kidney Dialysis Centers ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,8,7,7,3.5,3.5,3.1
6211,Offices of Physicians ,Other patient care revenue ,All Establishments ,Employer Firms ,"55,102","51,366","52,450",4.7,5,3.4
621493,Freestanding Ambulatory Surgical and Emergency Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"5,900","5,775","5,523",4.2,2.8,2.6
54181,Advertising Agencies ,Integrated advertising services ,All Establishments ,Employer Firms ,"20,284","17,897","16,747",6.1,8,7.4
6116,Other Schools and Instruction ,Total operating revenue ,All Establishments ,Employer Firms ,"19,844","18,179","16,931",2.3,2.7,2.5
6117,Educational Support Services ,Total operating revenue ,All Establishments ,Employer Firms ,"13,147","12,932","12,247",2.3,2.7,2.1
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from packaged tours ,All Establishments ,Employer Firms ,191,179,168,10.6,14.5,14
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ","Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"8,311","8,083","7,930",4.4,3.9,3.3
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ","Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"2,038","1,880","1,783",9,9.2,8.8
6211,Offices of Physicians ,Other patient care revenue ,All Establishments ,Employer Firms ,"55,102","51,366","52,450",4.7,5,3.4
6216,Home Health Care Services ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"3,960","3,725","3,410",14.8,13.4,12.5
6114,Business Schools and Computer and Management Training ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"8,307","8,404","7,928",3.4,3.3,3.4
54133,Engineering Services ,All other operating revenue ,All Establishments ,Employer Firms ,"34,356","40,408","40,694",12.4,11.2,11.7
6215,Medical and Diagnostic Laboratories ,Patient out-of-pocket ,All Establishments ,Employer Firms ,"2,852","2,889","2,795",4.5,4.2,3.5
51223,Music Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"3,879","3,867","3,793",2.3,2.5,2.3
6215,Medical and Diagnostic Laboratories ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"10,150","10,433","9,873",2.5,1.9,1.9
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Assurance and related services ,All Establishments ,Employer Firms ,"29,076","27,602","27,116",3.7,3.2,3.5
62131,Offices of Chiropractors ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
561599,All Other Travel Arrangement and Reservation Services ,"Commissions or fees from airline seats, international destinations ",All Establishments ,Employer Firms ,S,13,S,S,4.3,S
51911,News Syndicates ,Licensing of rights to use syndicated media content ,All Establishments ,Employer Firms ,"1,758","1,740","1,614",5.4,4.4,4.5
6117,Educational Support Services ,All other operating revenue ,All Establishments ,Employer Firms ,"2,450","2,741","2,737",8.8,8.4,7.5
621493,Freestanding Ambulatory Surgical and Emergency Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"22,730","20,912","19,616",3.3,2.1,2
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,357","1,227","1,129",9.5,7.2,6.8
6233,Community Care Facilities for the Elderly ,Total operating revenue ,All Establishments ,Employer Firms ,"51,346","49,022","46,594",1.9,1.6,1.4
51911,News Syndicates ,Total operating revenue ,All Establishments ,Employer Firms ,"2,348","2,188","1,960",4.5,3.2,3.1
5415,Computer Systems Design and Related Services ,Custom application design and development ,All Establishments ,Employer Firms ,"72,189","67,199","60,078",4.4,5.2,5
62142,Outpatient Mental Health and Substance Abuse Centers ,Investment and property income ,All Establishments ,Employer Firms ,57,61,53,29.5,25.2,11.9
62142,Outpatient Mental Health and Substance Abuse Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"1,097","1,229","1,174",13.3,8.9,9.1
62142,Outpatient Mental Health and Substance Abuse Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,367,342,279,14.2,12.3,14.6
515111,Radio Networks ,Public and non-commercial programming services ,All Establishments ,Employer Firms ,415,405,391,10.1,11,11.3
624,Social Assistance ,Investment and property income ,All Establishments ,Employer Firms ,"1,446","1,494","1,520",8.6,8.5,9.6
5121x ,Motion Picture and Video Production and Distribution1 ,Domestic licensing of rights to television programs ,All Establishments ,Employer Firms ,"12,796","12,355","11,364",8.9,2.6,2.4
621498,All Other Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"11,273","10,968","10,722",2,1.9,1.4
54131,Architectural Services ,Non-residential building projects ,All Establishments ,Employer Firms ,"17,799","17,903","17,626",7.6,6.8,6.3
5415,Computer Systems Design and Related Services ,IT technical support ,All Establishments ,Employer Firms ,"45,107","44,805","42,199",4.5,3.5,3.3
2213,"Water, Sewage and Other Systems ",Total operating revenue ,All Establishments ,Employer Firms ,"12,454","12,195","11,648",1.7,1.5,1.4
51111,Newspaper Publishers ,"Distribution services (e.g. flyers, inserts, samples) ",All Establishments ,Employer Firms ,"1,236","1,227","1,306",4,3.5,3.5
5417,Scientific Research and Development Services ,Basic and applied research in the social sciences and humanities ,Establishments exempt from federal income tax ,Employer Firms ,"2,133","1,848","1,744",5.7,6.2,5.9
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",Total operating revenue ,All Establishments ,Employer Firms ,"24,402","23,338","22,363",3.3,2.6,2.2
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Management consulting services ,All Establishments ,Employer Firms ,"10,937","9,291","8,026",4.5,4,4.2
517911,Telecommunications Resellers4 ,Total operating revenue ,All Establishments ,Employer Firms ,"9,945","9,683","9,817",6.7,5.6,4.4
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Other revenue from sales of energy ,All Establishments ,Employer Firms ,"8,994","8,855","9,333",3.6,2.7,3.8
54131,Architectural Services ,Total operating revenue ,All Establishments ,Employer Firms ,"26,994","27,044","26,050",6.2,5.5,4.9
51219,Postproduction Services and Other Motion Picture and Video Industries ,Total operating revenue ,All Establishments ,Employer Firms ,"5,415","5,590","5,310",3.8,3.9,3.8
483,Water Transportation ,Towing services by water ,All Establishments ,Employer Firms ,843,738,565,9.3,9.3,10.6
517911,Telecommunications Resellers4 ,Fixed local telephony ,All Establishments ,Employer Firms ,"1,615","1,505",S,6.5,6.1,S
54182,Public Relations Agencies ,Full public relations services ,All Establishments ,Employer Firms ,"7,256","6,857","6,643",5.5,5.1,4.3
62142,Outpatient Mental Health and Substance Abuse Centers ,Investment and property income ,All Establishments ,Employer Firms ,57,61,53,29.5,25.2,11.9
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
54186,Direct Mail Advertising ,Total operating revenue ,All Establishments ,Employer Firms ,"11,391","11,092","10,745",3.1,3.5,3.6
624,Social Assistance ,Program service ,All Establishments ,Employer Firms ,"83,133","80,836","78,170",3.4,3.1,2.5
622,Hospitals ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"35,887","31,513","29,165",4.8,5.1,4.3
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",All other non-patient care revenue ,All Establishments ,Employer Firms ,503,571,503,12.2,11.9,12.8
5112,Software Publishers ,Application software publishing - General business productivity and home use applications ,All Establishments ,Employer Firms ,"28,039","27,990","25,731",6.6,6.2,4.8
12,"Excludes NAICS 8131 (Religious Organizations), NAICS 81393 (Labor Unions and Similar Labor Organizations), and NAICS 81394 (Political Organizations). ",,,,,,,,,
5231X ,Commodity Contracts Dealing and Brokerage8 ,Trading derivative contracts on own account - Net gains (losses) ,All Establishments ,Employer Firms ,"1,666",-579,"2,078",6.5,-11.5,4.9
51913,Internet Publishing and Broadcasting and Web Search Portals6 ,All other operating revenue ,All Establishments ,Employer Firms ,"6,880","5,261","4,037",5.5,5.7,4.5
5174,Satellite Telecommunications ,Total operating revenue ,All Establishments ,Employer Firms ,"5,525","5,395","5,296",3.6,3.7,3.1
5171,Wired Telecommunications Carriers2 ,Website hosting services ,All Establishments ,Employer Firms ,215,292,304,5.8,2.5,3
621391,Offices of Podiatrists ,All other non-patient care revenue ,All Establishments ,Employer Firms ,51,S,S,22.4,S,S
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
5172,Wireless Telecommunications Carriers (except Satellite)3 ,All other operating revenue ,All Establishments ,Employer Firms ,"12,911","13,270","11,784",3.4,2.9,3.4
621493,Freestanding Ambulatory Surgical and Emergency Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
5417,Scientific Research and Development Services ,Basic and applied research in engineering and technology ,Establishments exempt from federal income tax ,Employer Firms ,"8,399","8,735","8,152",3.9,3.3,3.3
51223,Music Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,159,196,203,5.2,4.7,4.6
511199,All Other Publishers ,Sale of advertising space ,All Establishments ,Employer Firms ,439,436,456,17.4,14.3,13
51113,Book Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"3,634","3,673","3,725",6.1,9.5,7.9
62132,Offices of Optometrists ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
51512,Television Broadcasting ,National/regional/local air time ,All Establishments ,Employer Firms ,"31,691","27,758","27,960",1.3,1.8,1.3
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",All other operating revenue ,All Establishments ,Employer Firms ,"10,756","10,347","9,923",11.6,11.2,11.8
62141,Outpatient Care Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"2,002","1,914","1,864",3.3,3.1,2.8
5621,Waste Collection ,Non-residential nonhazardous waste and recyclable material collection services ,All Establishments ,Employer Firms ,"20,919","20,327","20,262",4.1,3.7,4.3
621492,Kidney Dialysis Centers ,Investment and property income ,All Establishments ,Employer Firms ,59,58,55,1.9,3.8,1.7
54133,Engineering Services ,Engineering advisory and drafting services ,All Establishments ,Employer Firms ,"3,930","4,622","4,724",16.8,18.3,19.3
5,"Historical data, 2010 and prior, have been restated to reflect comparable data on the 2007 NAICS basis for more detailed levels within this aggregate. ",,,,,,,,,
5415,Computer Systems Design and Related Services ,Rental and leasing of computer hardware ,All Establishments ,Employer Firms ,S,S,S,S,S,S
51111,Newspaper Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"32,729","33,164","34,695",2.3,2,1.9
621391,Offices of Podiatrists ,Investment and property income ,All Establishments ,Employer Firms ,S,33,27,S,16.4,19.1
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,"1,474","1,295","1,262",5.2,6.3,6.3
6233,Community Care Facilities for the Elderly ,Investment and property income ,All Establishments ,Employer Firms ,919,785,850,6.8,5.5,7.4
54133,Engineering Services ,Municipal utility engineering projects ,All Establishments ,Employer Firms ,"7,670","8,336","7,988",14.3,15.7,13.4
51113,Book Publishers ,Books - general reference books ,All Establishments ,Employer Firms ,566,670,636,20.2,18.2,18.3
54133,Engineering Services ,Surveying and mapping services ,All Establishments ,Employer Firms ,"1,560","1,676","2,116",20.6,22.8,23.9
5112,Software Publishers ,Re-sale of computer hardware and software ,All Establishments ,Employer Firms ,"5,608","4,557","3,262",6.3,9,4
6216,Home Health Care Services ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,31,24,27,16.4,2.7,2.5
  ,  ,,,,,,,,,
5417,Scientific Research and Development Services ,Total operating revenue ,Establishments exempt from federal income tax ,Employer Firms ,"33,616","33,394","31,287",2.3,1.9,2.1
6211,Offices of Physicians ,Total operating revenue ,All Establishments ,Employer Firms ,"404,254","386,672","372,579",1.4,1.2,0.9
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Trading debt instruments on own account - Net gains (losses) ,All Establishments ,Employer Firms ,"4,488","2,704","3,373",5.2,8.1,4.6
54182,Public Relations Agencies ,Media monitoring and analysis ,All Establishments ,Employer Firms ,93,97,63,17.3,17.4,22.9
51913,Internet Publishing and Broadcasting and Web Search Portals6 ,Online advertising space ,All Establishments ,Employer Firms ,"30,770","26,248","22,523",2.7,3,2.6
62131,Offices of Chiropractors ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"3,429","3,146","3,041",2.9,2.4,2.3
6216,Home Health Care Services ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,31,24,27,16.4,2.7,2.5
483,Water Transportation ,Participatory recreational services by water craft ,All Establishments ,Employer Firms ,S,S,S,S,S,S
51113,Book Publishers ,Books - textbooks ,All Establishments ,Employer Firms ,"8,598","9,021","8,968",2.7,1.9,1.7
624,Social Assistance ,Total revenue ,All Establishments ,Employer Firms ,"151,938","149,927","146,081",1.6,1.3,0.9
5231X ,Commodity Contracts Dealing and Brokerage8 ,Trading foreign currency on own account - Net gains (losses) ,All Establishments ,Employer Firms ,328,271,274,7.6,6.6,6.6
54181,Advertising Agencies ,Media buying ,All Establishments ,Employer Firms ,"6,689","6,245","6,290",10.7,8.7,9.5
62141,Outpatient Care Centers ,Other patient care revenue ,All Establishments ,Employer Firms ,39,43,34,11,9.9,17.2
483,Water Transportation ,Other transportation of passengers by water ,All Establishments ,Employer Firms ,77,73,77,22.5,21.6,12.2
56132,Temporary Help Services ,Temporary staffing-to-permanent placement ,All Establishments ,Employer Firms ,"3,515","4,469","3,579",20.5,21.3,20.6
56151,Travel Agencies ,Commissions or fees from packaged tours ,All Establishments ,Employer Firms ,"1,516","1,498","1,460",8.7,7.4,7.9
5171,Wired Telecommunications Carriers2 ,"Reselling services for telecommunications equipment, retail ",All Establishments ,Employer Firms ,"1,387","1,737","1,770",7,13.5,9.5
62132,Offices of Optometrists ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"5,285","5,021","4,923",3.1,3.4,2.9
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations12 ",Investment and property income ,All Establishments ,Employer Firms ,"19,957","15,183","20,002",6.4,7.5,7.3
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Repair and maintenance services for telecommunications equipment ,All Establishments ,Employer Firms ,S,"1,480","1,335",S,4.9,5.4
481,Air Transportation ,"Domestic, non-scheduled passenger by air ",All Establishments ,Employer Firms ,"8,199","7,922","7,296",1.5,1.3,1.1
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Other revenue from sales of energy ,All Establishments ,Employer Firms ,"8,994","8,855","9,333",3.6,2.7,3.8
518,"Data Processing, Hosting, and Related Services5 ",Total operating revenue ,All Establishments ,Employer Firms ,"88,670","82,203","76,156",3.9,3.6,3.6
486,Pipeline Transportation ,All other operating revenue ,All Establishments ,Employer Firms ,"2,781","2,777","2,670",Z,Z,Z
54131,Architectural Services ,All other operating revenue ,All Establishments ,Employer Firms ,"2,781","3,156","2,878",18.7,17.4,18.1
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ","Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"1,040","1,009",984,13.5,11.9,10.7
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Electricity generation and distribution ,All Establishments ,Employer Firms ,"420,151","424,469","407,699",2.1,1.9,1.7
62133,"Offices of Mental Health Practitioners, (except Physicians) ","Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,297,309,294,9.3,8.6,8.9
51219,Postproduction Services and Other Motion Picture and Video Industries ,Total operating revenue ,All Establishments ,Employer Firms ,"5,415","5,590","5,310",3.8,3.9,3.8
6233,Community Care Facilities for the Elderly ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"31,463","29,715","28,299",2.8,2.7,2.7
621491,Other Outpatient Care Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,13,21,15,1.4,1.3,1.2
51112,Periodical Publishers ,Printing services for others ,All Establishments ,Employer Firms ,"1,357","1,511","1,533",19.9,16.1,15.1
