621391,Offices of Podiatrists ,All other non-patient care revenue ,All Establishments ,Employer Firms ,51,S,S,22.4,S,S
5171,Wired Telecommunications Carriers2 ,Fixed services - Fixed local telephony ,All Establishments ,Employer Firms ,"39,272","41,973","45,650",0.9,0.8,0.7
515112,Radio Stations ,Public and non-commercial programming services ,All Establishments ,Employer Firms ,629,649,608,12.7,13.6,12
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,706,697,646,12.7,11.1,9.4
51222,Integrated Record Production/Distribution ,Total operating revenue ,All Establishments ,Employer Firms ,"7,257","7,238","8,258",0.7,0.7,0.2
5121x ,Motion Picture and Video Production and Distribution1 ,"Sale of audiovisual works for the wholesale, retail, and rental markets ",All Establishments ,Employer Firms ,"11,106","11,365","11,121",2.2,2.1,2.1
62141,Outpatient Care Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,53,50,47,14.7,8.8,11.6
54182,Public Relations Agencies ,Media monitoring and analysis ,All Establishments ,Employer Firms ,93,97,63,17.3,17.4,22.9
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,357","1,227","1,129",9.5,7.2,6.8
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations12 ",All other non-operating revenue ,All Establishments ,Employer Firms ,"25,737","23,655","23,772",3.4,3.8,3.2
621493,Freestanding Ambulatory Surgical and Emergency Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
5112,Software Publishers ,Application software publishing - Vertical market application software ,All Establishments ,Employer Firms ,"8,231","8,782","8,263",17.1,11.6,11
5171,Wired Telecommunications Carriers2 ,Air time (advertising and program content) ,All Establishments ,Employer Firms ,S,"5,146","5,051",S,0.6,0.5
518,"Data Processing, Hosting, and Related Services5 ",All other operating revenue ,All Establishments ,Employer Firms ,S,"10,746","9,675",S,5.3,5.4
5231X ,Commodity Contracts Dealing and Brokerage8 ,Management of financial market clearing products ,All Establishments ,Employer Firms ,400,427,429,13.3,15.2,10.6
51222,Integrated Record Production/Distribution ,Licensing revenue - Licensing of rights to use musical recordings ,All Establishments ,Employer Firms ,D,668,791,D,1,0.9
6233,Community Care Facilities for the Elderly ,Investment and property income ,All Establishments ,Employer Firms ,919,785,850,6.8,5.5,7.4
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,S,S,S,S,S
5415,Computer Systems Design and Related Services ,Total operating revenue ,All Establishments ,Employer Firms ,"320,236","303,354","283,790",2,1.8,1.7
622,Hospitals ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"350,140","332,137","318,628",2.4,2.2,2.3
62132,Offices of Optometrists ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,86,88,S,24.1,24
2213,"Water, Sewage and Other Systems ",All other operating revenue ,All Establishments ,Employer Firms ,"2,170","2,258","2,132",7.3,6.9,7.1
5417,Scientific Research and Development Services ,"Basic and applied research in natural and exact sciences, except biological sciences ",Establishments subject to federal income tax ,Employer Firms ,"9,264","9,102","9,248",7.1,5.7,6.4
624,Social Assistance ,Total revenue ,All Establishments ,Employer Firms ,"151,938","149,927","146,081",1.6,1.3,0.9
5121x ,Motion Picture and Video Production and Distribution1 ,Contract production of audiovisual works ,All Establishments ,Employer Firms ,"6,283","5,764","5,289",9.7,5.7,5.7
62132,Offices of Optometrists ,Total operating revenue ,All Establishments ,Employer Firms ,"12,579","12,025","11,684",2.2,1.9,1.5
54181,Advertising Agencies ,Other advertising services ,All Establishments ,Employer Firms ,"4,401","3,974","3,769",7.4,6,10.1
51111,Newspaper Publishers ,Printing services for others ,All Establishments ,Employer Firms ,"1,448","1,313","1,258",6,6.9,7.1
51213,Motion Picture and Video Exhibition ,All other operating revenue ,All Establishments ,Employer Firms ,498,330,315,12.7,22.5,23.9
6233,Community Care Facilities for the Elderly ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,553,512,503,11.1,9.9,9.8
56299,All Other Waste Management Services ,All other operating revenue ,All Establishments ,Employer Firms ,867,983,"1,026",6.1,6.6,5.3
54133,Engineering Services ,Municipal utility engineering projects ,All Establishments ,Employer Firms ,"7,670","8,336","7,988",14.3,15.7,13.4
6115,Technical and Trade Schools ,All other operating revenue ,All Establishments ,Employer Firms ,"2,113","2,428","2,190",9.7,11,11.4
6219,Other Ambulatory Health Care Services ,Total operating revenue ,All Establishments ,Employer Firms ,"31,969","31,454","30,021",1.6,1.6,1.3
518,"Data Processing, Hosting, and Related Services5 ",Information technology (IT) technical support services ,All Establishments ,Employer Firms ,"3,138","2,853","2,607",11.7,10.1,8.5
51113,Book Publishers ,Books - children's books ,All Establishments ,Employer Firms ,"3,637","3,334","3,352",7.7,4,4.3
54133,Engineering Services ,"Commercial, public, and institutional engineering projects ",All Establishments ,Employer Firms ,"13,718","12,054","10,611",21.6,21.8,20
62141,Outpatient Care Centers ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,ZZ,S,S,NA,S,S
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Mobile all distance ,All Establishments ,Employer Firms ,"63,321","60,765",S,0.9,0.9,S
621493,Freestanding Ambulatory Surgical and Emergency Centers ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"2,329","1,971","1,846",6.1,5.5,5
5121x ,Motion Picture and Video Production and Distribution1 ,"Sale of audiovisual works for the wholesale, retail, and rental markets ",All Establishments ,Employer Firms ,"11,106","11,365","11,121",2.2,2.1,2.1
5417,Scientific Research and Development Services ,Basic and applied research in the biological and biomedical sciences ,Establishments exempt from federal income tax ,Employer Firms ,"4,314","4,138","3,994",5.4,5.4,5.8
6116,Other Schools and Instruction ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"13,040","12,308","11,428",4.4,4.3,4
51114,Directory and Mailing List Publishers ,"Directories, databases, and other collections of information - Subscriptions and sales ",All Establishments ,Employer Firms ,"2,295","2,313","2,337",3.7,3.3,3.3
5174,Satellite Telecommunications ,All other operating revenue ,All Establishments ,Employer Firms ,"2,060","2,147",S,3.8,5.5,S
56151,Travel Agencies ,Commissions or fees from other reservation services ,All Establishments ,Employer Firms ,814,731,690,14.1,7.9,7.7
62131,Offices of Chiropractors ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"5,725","5,629","5,431",2.4,2,1.8
  ,  ,,,,,,,,,
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Messaging (paging) services ,All Establishments ,Employer Firms ,"4,647","4,434","4,004",4.9,4.8,5.2
54161,Management Consulting Services10 ,Total operating revenue ,All Establishments ,Employer Firms ,"131,656","125,260","118,096",2.1,2.1,1.9
711212,Racetracks ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"7,681","7,447","7,216",4.7,5,4.9
54182,Public Relations Agencies ,Event management ,All Establishments ,Employer Firms ,S,S,474,S,S,21.5
515111,Radio Networks ,Public and non-commercial programming services ,All Establishments ,Employer Firms ,415,405,391,10.1,11,11.3
621391,Offices of Podiatrists ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,4,S,S,23.6
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Investment and property income ,All Establishments ,Employer Firms ,S,S,S,S,S,S
2212,Natural Gas Distribution ,All other operating revenue ,All Establishments ,Employer Firms ,D,"3,276","3,235",D,3.6,5.4
54161,Management Consulting Services10 ,"IT technical design, consulting, and development services ",All Establishments ,Employer Firms ,"8,892","7,920","7,098",5.9,3.6,3.1
5112,Software Publishers ,Application software publishing - General business productivity and home use applications ,All Establishments ,Employer Firms ,"28,039","27,990","25,731",6.6,6.2,4.8
621391,Offices of Podiatrists ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"1,959","1,860","1,842",3.8,4,3.7
5415,Computer Systems Design and Related Services ,"Computer systems design, development, and integration ",All Establishments ,Employer Firms ,"39,149","36,178","34,659",5.7,4.9,5
6117,Educational Support Services ,Total operating revenue ,All Establishments ,Employer Firms ,"13,147","12,932","12,247",2.3,2.7,2.1
54161,Management Consulting Services10 ,"Operations and supply chain management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,961","8,133","8,035",6.2,8.2,7.2
51113,Book Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"3,634","3,673","3,725",6.1,9.5,7.9
5121x ,Motion Picture and Video Production and Distribution1 ,All other operating revenue ,All Establishments ,Employer Firms ,"4,110","3,876","3,859",5,4.3,3.4
6117,Educational Support Services ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"10,697","10,191","9,510",2.8,2.9,2.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"9,475","9,185","8,808",2.6,2.3,2.1
621391,Offices of Podiatrists ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,634,610,589,4.8,4.9,5.7
6117,Educational Support Services ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"10,697","10,191","9,510",2.8,2.9,2.7
517911,Telecommunications Resellers4 ,Fixed long-distance telephony ,All Establishments ,Employer Firms ,"1,086","1,090","1,227",6.4,7.2,6.4
6216,Home Health Care Services ,All other non-patient care revenue ,All Establishments ,Employer Firms ,489,502,493,21.3,18.8,19.6
51113,Book Publishers ,Books - general reference books ,All Establishments ,Employer Firms ,566,670,636,20.2,18.2,18.3
621391,Offices of Podiatrists ,All other non-patient care revenue ,All Establishments ,Employer Firms ,51,S,S,22.4,S,S
5171,Wired Telecommunications Carriers2 ,Private network services ,All Establishments ,Employer Firms ,"22,253","22,222","21,977",2.2,2.3,1.8
6239,Other Residential Care Facilities ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"5,744","5,580","5,501",3.6,2.8,2.8
62133,"Offices of Mental Health Practitioners, (except Physicians) ",All other non-patient care revenue ,All Establishments ,Employer Firms ,251,225,206,12,17.3,20.9
6219,Other Ambulatory Health Care Services ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"5,882","5,567","5,213",3.6,3.3,3.1
5152,Cable and Other Subscription Programming ,Total operating revenue ,All Establishments ,Employer Firms ,"64,168","60,318","55,168",0.4,0.3,0.2
51219,Postproduction Services and Other Motion Picture and Video Industries ,Motion picture film laboratory services ,All Establishments ,Employer Firms ,S,320,419,S,3.6,2.4
622,Hospitals ,Other patient care revenue ,All Establishments ,Employer Firms ,"67,653","65,543","57,333",8.2,8.8,10.3
6215,Medical and Diagnostic Laboratories ,Patient out-of-pocket ,All Establishments ,Employer Firms ,"2,852","2,889","2,795",4.5,4.2,3.5
517911,Telecommunications Resellers4 ,Mobile telephony ,All Establishments ,Employer Firms ,"2,045","1,894",S,18.1,16.1,S
56299,All Other Waste Management Services ,Sale or brokerage of nonhazardous recyclable material ,All Establishments ,Employer Firms ,151,173,42,16.8,8.3,15.4
621492,Kidney Dialysis Centers ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,97,103,101,3.2,3.2,2.3
51219,Postproduction Services and Other Motion Picture and Video Industries ,Duplication and copying services ,All Establishments ,Employer Firms ,"1,118","1,228","1,189",5.8,5.4,5.5
54111,Offices of Lawyers ,Investment and property income ,Establishments exempt from federal income tax ,Employer Firms ,S,S,S,S,S,S
518,"Data Processing, Hosting, and Related Services5 ","Data processing, information technology (IT) infrastructure provisioning, and hosting services ",All Establishments ,Employer Firms ,"61,604","56,734","53,108",4,3.9,3.7
62141,Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,334,317,330,3.6,2.9,2.8
485,Transit and Ground Passenger Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"29,971","28,256","27,020",2.3,2,1.5
5171,Wired Telecommunications Carriers2 ,Repair and maintenance services for telecommunications equipment ,All Establishments ,Employer Firms ,703,S,389,9.6,S,7.2
621491,Other Outpatient Care Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"7,272","6,867","6,200",1.3,1.3,1.3
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Other revenue from sales of energy ,All Establishments ,Employer Firms ,"8,994","8,855","9,333",3.6,2.7,3.8
54161,Management Consulting Services10 ,"Financial management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"7,818","7,647","7,835",9.8,7.4,7.3
711212,Racetracks ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"7,681","7,447","7,216",4.7,5,4.9
  ,  ,,,,,,,,,
621493,Freestanding Ambulatory Surgical and Emergency Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"22,730","20,912","19,616",3.3,2.1,2
621498,All Other Outpatient Care Centers ,Investment and property income ,All Establishments ,Employer Firms ,235,239,211,8.7,10.5,9
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
5417,Scientific Research and Development Services ,Basic and applied research in the biological and biomedical sciences ,Establishments exempt from federal income tax ,Employer Firms ,"4,314","4,138","3,994",5.4,5.4,5.8
561599,All Other Travel Arrangement and Reservation Services ,"Commissions or fees from airline seats, domestic destinations ",All Establishments ,Employer Firms ,185,198,249,4.7,4.8,4.9
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,Investment and property income ,All Establishments ,Employer Firms ,299,291,330,17.6,14.4,13.5
54181,Advertising Agencies ,Sales promotion ,All Establishments ,Employer Firms ,980,"1,012",989,23.5,8.7,9.6
561599,All Other Travel Arrangement and Reservation Services ,"Commissions or fees from airline seats, international destinations ",All Establishments ,Employer Firms ,S,13,S,S,4.3,S
